horizon,model,mse_mean,mse_std,mae_mean,mae_std
90,lstm,248249.2625,7309.44228518391,388.0622497558594,7.411933494492791
90,transformer,307313.1125,39669.23655112512,444.4615966796875,35.59749059631517
90,cnn_transformer,445380.875,72120.11765835644,540.604736328125,49.027455739263516
365,lstm,431184.790625,150962.04245585724,512.3136108398437,112.7404620923263
365,transformer,274876.278125,72296.16040382383,404.95844116210935,61.64225926778402
365,cnn_transformer,536910.0625,100674.35868171745,599.9987182617188,62.899043274434966
